id,client_id,amount,interest_rate,interest_amount,frequency,start_date,first_payment_date,status,notes,num_payments,agreement_date,agreement_note,created_at,interest_type,cancellation_note,unified_into,initial_capital_paid,initial_interest_paid,is_unification,payment_method
058eb7dc-fca5-455b-8f67-8f073c49d66e,35c43a44-5765-4367-beef-002763fa8bac,600000,10,60000,mensual,2026-07-05,2026-08-05,active,,,,,2026-07-06 00:40:20.275787+00,fixed,,,0,0,false,
0bbbfe19-819d-4494-9614-13bbab78c921,47eee750-d82d-43dc-9b6a-00377386bfdc,400000,10,40000,mensual,2026-02-04,2026-03-04,overdue,,,,,2026-06-21 02:43:06.237644+00,fixed,,,0,0,false,
0dadf760-fe03-4670-bb8f-14bdf574bf22,64f75664-1d4e-4942-95af-19c024b8c2dd,1000000,7,70000,mensual,2026-06-02,2026-07-02,overdue,,,,,2026-06-17 02:50:33.549909+00,fixed,,,0,0,false,
0e5f3a44-f0c0-4297-9af4-7691ff500e16,ea6fb5af-0aec-4925-bae2-28dddf673e86,150000,10,15000,mensual,2026-06-06,2026-07-06,active,,,,,2026-06-24 17:48:45.323483+00,variable,,,0,0,false,
120eca41-6673-458a-83b7-b47a1853927e,0d5a4354-d408-4863-938c-39e609bbcea1,1100000,10,110000,mensual,2026-06-17,2026-07-17,active,,,,,2026-06-17 02:56:19.278287+00,fixed,,,0,0,false,
1721724b-9970-45be-be70-1304cc1b829b,8323852f-681a-4c6c-a678-9253aab579af,300000,10,30000,mensual,2026-06-21,2026-07-21,paid,,,,,2026-06-23 02:21:35.00756+00,variable,,,0,0,false,
18985bdb-a340-4591-b8c0-aa7da7c656b7,12440fa7-295b-4988-9719-f30b9257d235,1360000,0,0,mensual,2026-06-01,2026-07-01,active,,,,,2026-06-17 02:37:33.262523+00,fixed,,,0,0,false,
19ef4e22-7614-43d7-b612-bbbe0631efbf,5415fc6c-9274-469e-878e-380f9e071b0f,200000,8,16000,mensual,2026-07-05,2026-08-05,unified,,,,,2026-07-05 23:56:07.460695+00,fixed,,262e3cdf-280a-40a0-843c-ff4224252734,0,0,false,
213bc756-b717-4c16-85bf-d7d3b6855de6,39cec8f1-9850-48fd-8889-faab3aea6c2c,2300000,0,0,mensual,2026-05-20,2026-06-20,overdue,Prestamo de la droguería se debe este valor de los 5 millones - Acordado pagar 300.000 mensual-,,,,2026-06-13 02:39:38.475664+00,fixed,,,0,0,false,
262e3cdf-280a-40a0-843c-ff4224252734,5415fc6c-9274-469e-878e-380f9e071b0f,2200000,8,176000,mensual,2026-08-03,2026-08-30,active,Unificación de 2 préstamos: $ 200.000 + $ 2.000.000 = $ 2.200.000,,,,2026-08-03 00:15:49.514721+00,variable,,,0,656000,true,
2a390b68-a849-4339-b748-92d37ae72e73,f2327c76-fd13-48b1-afe6-9fc2cf590440,100000,10,10000,mensual,2026-07-29,2026-08-29,active,,,,,2026-08-03 00:21:26.893024+00,fixed,,,0,0,false,
38134357-f107-45e3-bd99-b654794f19b6,702ead24-88f8-4fa1-8849-18e737e91150,400000,8,32000,mensual,2026-07-16,2026-08-16,active,,,,,2026-07-18 01:05:26.959786+00,variable,,,0,0,false,
3db9bbb8-f5fd-4ef4-b520-8cf67b85feb8,ffb9cfaf-5e35-4fd3-9a46-1471ed812224,200000,10,20000,mensual,2026-06-03,2026-07-03,paid,,,,,2026-06-23 02:14:34.466206+00,fixed,,,0,0,false,
46716d35-122d-432e-adb2-bc76c61b6025,ffb9cfaf-5e35-4fd3-9a46-1471ed812224,200000,10,20000,mensual,2026-07-31,2026-08-31,active,,,,,2026-07-31 16:35:51.931699+00,fixed,,,0,0,false,
484717b3-3f91-4842-b2c4-fb8a2722bf00,63e3b104-02bc-4ff9-a3ce-e6413d05e60b,1100000,8,88000,mensual,2026-07-30,2026-08-30,active,,,,,2026-07-31 13:58:57.765378+00,variable,,,0,0,false,
50615ccb-9587-4cd7-b5f7-4080ba6bff80,7d8f3aac-a90b-4291-b5bf-3cdfcccd486f,500000,10,50000,mensual,2026-02-08,2026-03-08,overdue,,,,,2026-06-17 02:59:19.758387+00,fixed,,,0,0,false,
598201e4-6592-426d-ac6b-9a3b5cdee5ba,dd6d4abd-372f-47d1-a5ab-89a851b2b2fa,700000,10,70000,mensual,2026-07-05,2026-08-05,unified,,,,,2026-07-05 15:47:43.558795+00,variable,,ba9a55f4-2ab4-4e01-9adc-c84771d695bd,0,0,false,
5ab38f5c-192e-49b8-9d16-b7e9a8efcbea,dd6d4abd-372f-47d1-a5ab-89a851b2b2fa,300000,10,30000,mensual,2026-07-18,2026-08-18,unified,Para unificar creditos,,,,2026-08-03 00:06:21.754665+00,variable,,ba9a55f4-2ab4-4e01-9adc-c84771d695bd,0,0,false,
5e124204-a83d-46c9-b84f-be382a5e2ec7,4d0f6549-1a25-4849-939a-49b07e787496,200000,10,20000,mensual,2026-06-29,2026-07-29,paid,,,,,2026-07-01 02:11:11.081934+00,fixed,,,0,0,false,
5f472756-0864-431e-8050-68a1f5dc8819,be7824a7-743b-4bac-b3c2-902d433a8fcf,85000,10,8500,mensual,2026-06-01,2026-07-01,paid,,,,,2026-06-17 02:53:17.67907+00,fixed,,,0,0,false,
5f811e71-d4fc-4873-8e55-60bb8ceb1d80,3251596c-c536-44a7-88ad-8670a4c0dc69,500000,5,25000,mensual,2026-07-21,2026-08-21,active,,,,,2026-07-21 16:22:03.316388+00,fixed,,,0,0,false,
64f7a286-f22c-4654-a666-d7e85a50c555,fc17cd10-e460-4aab-b4c0-0ff891ca3712,200000,10,20000,mensual,2026-03-10,2026-04-10,overdue,,,,,2026-06-17 02:44:42.666264+00,fixed,,,0,0,false,
655aa117-2e7e-4d03-9bc0-173d3476cc58,08733932-f235-4f86-b87c-51125e97c88b,4000000,5,200000,mensual,2026-06-09,2026-07-09,paid,,,,,2026-06-23 02:16:23.861318+00,fixed,,,0,0,false,
66ed8cf5-6256-417f-bac8-e3a5743112d6,0d5a4354-d408-4863-938c-39e609bbcea1,500000,10,50000,mensual,2026-07-22,2026-08-22,active,,,,,2026-07-23 19:12:12.976782+00,fixed,,,0,0,false,
67902a76-8cf1-40c5-8e06-88f1849eb1d4,702ead24-88f8-4fa1-8849-18e737e91150,200000,8,16000,mensual,2026-07-25,2026-08-25,active,"Una sola cuenta con el anterior ",,,,2026-07-27 15:52:05.056961+00,variable,,,0,0,false,
6c0ba818-9ead-45f9-9dc7-7bbac4e34ded,39cec8f1-9850-48fd-8889-faab3aea6c2c,400000,7,28000,mensual,2026-07-10,2026-08-10,active,,,,,2026-07-11 00:18:44.715722+00,fixed,,,0,0,false,
6c6dea97-163e-45a9-9d1f-74b7e7b3efe7,3251596c-c536-44a7-88ad-8670a4c0dc69,160000,10,16000,mensual,2026-06-22,2026-07-22,paid,,,,,2026-06-26 14:15:52.153986+00,fixed,,,0,0,false,
6ced19a9-4328-4e08-86c3-e107b1822751,345ac191-1910-4158-84c6-85bd47ebb69e,4000000,0,0,mensual,2026-03-01,2026-04-01,active,,,,,2026-06-21 02:51:39.819194+00,fixed,,,0,0,false,
6e31f1c3-5f6f-4dd3-946c-857c49a2b227,e2f3b1f6-09df-46f5-9568-27189e7bead4,500000,8,40000,mensual,2026-05-25,2026-06-25,active,,,,,2026-06-23 02:18:41.968667+00,fixed,,,0,0,false,
6f1f047c-bbf7-46bf-bfbc-8b2b0768a039,256d1e8d-283f-4d32-b057-1e463ea08993,700000,0,0,mensual,2026-07-15,2026-08-15,active,Para Fuxion,,,,2026-07-15 15:14:08.727719+00,fixed,,,0,0,false,
764a6e02-2fa7-49e2-83a3-777ff8022a9c,256d1e8d-283f-4d32-b057-1e463ea08993,600000,0,0,mensual,2026-05-30,2026-06-30,active,,,,,2026-06-13 02:31:21.226017+00,fixed,,,0,0,false,
767724d7-82cb-4715-afdd-8a1d38dfc221,3251596c-c536-44a7-88ad-8670a4c0dc69,4000000,5,200000,mensual,2026-08-01,2026-09-01,active,,,,,2026-08-03 00:38:23.070165+00,variable,,,0,0,false,
783ae014-4f2b-43c2-b305-ee4f225883bf,0d5a4354-d408-4863-938c-39e609bbcea1,500000,5,25000,mensual,2026-07-10,2026-08-10,paid,Era para devolver en 4 días,,,,2026-07-13 14:05:29.325726+00,fixed,,,0,0,false,
7a184d6a-d0f0-4818-b24f-cb2a1722a39e,3251596c-c536-44a7-88ad-8670a4c0dc69,500000,5,25000,mensual,2026-05-02,2026-06-02,overdue,,,,,2026-06-23 02:05:12.423875+00,variable,,,0,0,false,
7c4d2451-6704-48e4-92db-e60ebb39c562,33b612c9-e686-4f2d-a5b8-4a0d5f73f391,1000000,10,100000,mensual,2026-06-10,2026-07-10,overdue,,,,,2026-06-26 14:14:58.269981+00,fixed,,,0,0,false,
7e566536-da00-4de8-aef6-aad57770cb8e,6b5833df-85b8-4f06-8ac2-1e6343bbde0a,50000,10,5000,mensual,2026-05-06,2026-06-06,overdue,,,,,2026-06-23 02:11:38.73927+00,fixed,,,0,0,false,
82bd0b1f-d7b8-407a-91ac-2177ff6f22a9,ef2177ba-74fa-4a10-8335-97a30f56b524,500000,10,50000,mensual,2026-02-15,2026-03-15,overdue,,,,,2026-06-21 02:39:32.770077+00,fixed,,,0,0,false,
84f9ce3d-b558-425d-90a3-9af428ca1cb4,dd6d4abd-372f-47d1-a5ab-89a851b2b2fa,500000,10,50000,mensual,2026-05-30,2026-06-30,unified,,,,,2026-06-13 02:47:11.735805+00,variable,,ba9a55f4-2ab4-4e01-9adc-c84771d695bd,0,0,false,
88d53d0e-7740-4b16-a560-d453051f7ba6,0d5a4354-d408-4863-938c-39e609bbcea1,300000,6,18000,mensual,2026-06-14,2026-07-14,paid,,,,,2026-06-24 17:52:11.536403+00,fixed,,,0,0,false,
8b38368c-2467-47b6-872a-a617bc3d99bc,075fe3c1-dc05-4cf8-8d4f-dcbccdfca9b3,300000,10,30000,mensual,2026-04-01,2026-05-01,overdue,,,,,2026-06-21 02:56:09.041244+00,fixed,,,0,0,false,
9ee2d5fa-f3ea-4a19-a9fc-352929c70e09,35c43a44-5765-4367-beef-002763fa8bac,500000,10,50000,mensual,2026-05-15,2026-06-15,paid,,,,,2026-06-21 03:01:45.627523+00,fixed,,,0,0,false,
a1470d87-2d58-4cca-a73f-c66b6f0ebac6,19f2b765-95c5-4d2b-a439-269446e5124c,500000,0,0,mensual,2026-05-01,2026-05-15,overdue,,,,,2026-06-13 02:28:38.566608+00,fixed,,,0,0,false,
ab3ce412-7b67-4408-b0ce-c0843d5ef966,ea6fb5af-0aec-4925-bae2-28dddf673e86,250000,10,25000,mensual,2026-05-24,2026-06-24,active,,,,,2026-06-17 02:51:56.434889+00,variable,,,0,0,false,
af074bb1-862d-4583-9f94-3fd69c04b6d1,63e3b104-02bc-4ff9-a3ce-e6413d05e60b,3000000,8,240000,mensual,2026-06-10,2026-07-10,paid,,,,,2026-06-23 02:17:21.72631+00,variable,,,0,0,false,
b3c90447-9611-4633-8b54-6bea47a952c6,4730c83c-2a4e-4bee-95ff-9825c600d3a9,1000000,8,80000,mensual,2026-04-30,2026-05-30,active,,,,,2026-06-23 02:02:22.12412+00,fixed,,,0,0,false,
ba9a55f4-2ab4-4e01-9adc-c84771d695bd,dd6d4abd-372f-47d1-a5ab-89a851b2b2fa,1500000,10,150000,mensual,2026-08-03,2026-08-30,active,Unificación de 3 préstamos: $ 300.000 + $ 700.000 + $ 500.000 = $ 1.500.000,,,,2026-08-03 00:11:02.190891+00,variable,,,150000,50000,true,
c7a339e8-9e24-480d-b9f9-a107cf1d4269,59d3dc25-048d-4865-b678-b4f0b4a88151,200000,10,20000,mensual,2026-06-02,2026-07-02,paid,,,,,2026-06-23 02:13:10.414448+00,fixed,,,0,0,false,
d517906c-86bd-4825-8cbf-3188faaf9296,63e3b104-02bc-4ff9-a3ce-e6413d05e60b,200000,5,10000,mensual,2026-07-09,2026-08-09,paid,,,,,2026-07-09 20:40:50.766796+00,fixed,,,0,0,false,
