id,loan_id,date,total_paid,interest_paid,capital_paid,late,notes,created_at,payment_method,reference,voided,void_reason,method_breakdown
0001756c-7e80-4fe5-96bb-26ce104522c0,f9c6b41e-291e-463c-b410-ca1d4509e103,2026-07-30,300000,50000,250000,false,,2026-07-30 18:38:26.276858+00,nequi,,false,,
038232b2-ea3d-43c5-bcf0-6252e84349f8,64f7a286-f22c-4654-a666-d7e85a50c555,2026-06-10,20000,20000,0,true,,2026-06-17 02:48:35.50161+00,efectivo,,false,,
0a43474c-f060-4a8a-b749-da119d3bd8eb,8b38368c-2467-47b6-872a-a617bc3d99bc,2026-05-01,30000,30000,0,true,,2026-06-21 02:56:33.41538+00,efectivo,,false,,
0b24a303-a1fc-443b-99b6-36bf8cc6556a,e60d6f2a-f8fc-448b-8897-44d2b4b2babd,2026-03-01,70000,70000,0,true,,2026-06-21 02:48:46.058863+00,nequi,,false,,
0b9d0f83-62ed-457e-a9e0-27f43b8242e0,50615ccb-9587-4cd7-b5f7-4080ba6bff80,2026-04-07,50000,50000,0,true,,2026-06-21 02:32:30.324967+00,efectivo,,false,,
0e1acb42-d439-4e6f-ab2b-855f6bfb42e1,6ced19a9-4328-4e08-86c3-e107b1822751,2026-05-01,400000,0,400000,true,,2026-06-21 02:53:42.10479+00,nequi,,false,,
1129cb6e-ca01-4663-804d-33344fe40a60,5f472756-0864-431e-8050-68a1f5dc8819,2026-07-03,90000,5000,85000,false,Liquidación del préstamo,2026-07-03 21:31:43.3165+00,efectivo,,false,,
18ae279e-999f-4fd1-a622-2296148340e0,484717b3-3f91-4842-b2c4-fb8a2722bf00,2026-08-01,88000,88000,0,false,,2026-08-03 00:35:24.801222+00,nequi,,false,,
1b2cc53c-4d8e-4889-afef-78e838e28800,5e124204-a83d-46c9-b84f-be382a5e2ec7,2026-07-31,220000,20000,200000,false,Liquidación del préstamo,2026-07-31 03:43:20.463185+00,efectivo,,false,,
1e8bba71-cbd6-4bed-ab46-00e4ce56b2ef,6ced19a9-4328-4e08-86c3-e107b1822751,2026-06-27,400000,0,400000,false,,2026-06-27 00:45:50.561807+00,nequi,,false,,
216962b3-4c35-45ba-afab-7066619e0753,50615ccb-9587-4cd7-b5f7-4080ba6bff80,2026-07-07,50000,50000,0,true,Faltaron $ 10.000 de interés en este pago.,2026-07-07 00:12:43.674495+00,nequi,,false,,
22726e1f-223d-477c-a5d4-7f946a2119af,e4d75e8d-c7d5-42de-9562-1ab921e3c901,2026-06-20,55000,5000,50000,false,,2026-06-23 02:09:07.48294+00,efectivo,,false,,
24fabfcd-ef60-4b91-8557-75637e5bd0a2,6c6dea97-163e-45a9-9d1f-74b7e7b3efe7,2026-07-17,168000,8000,160000,false,Liquidación del préstamo,2026-07-17 03:39:11.492658+00,efectivo,,false,,
278e1b9f-80bc-49c1-957e-fc1ba12b74d7,e2f04361-0768-4845-8b91-7c02c80b1b8c,2026-08-01,60000,60000,0,true,,2026-08-03 00:31:01.053914+00,efectivo,,false,,
281fcfbe-5349-4d2e-8bea-672faad73717,0dadf760-fe03-4670-bb8f-14bdf574bf22,2026-07-06,270000,70000,200000,true,,2026-07-09 14:52:32.522435+00,nequi,,false,,
29294559-3688-417c-9db3-70d6b049ed38,ab3ce412-7b67-4408-b0ce-c0843d5ef966,2026-06-24,75000,25000,50000,true,,2026-06-24 17:48:04.120715+00,nequi,,false,,
329774f1-c5ea-43be-af4d-fa93aacbd090,ab3ce412-7b67-4408-b0ce-c0843d5ef966,2026-07-03,70000,20000,50000,false,,2026-07-03 21:12:50.212538+00,efectivo,,false,,
37fa85d0-8492-4cf4-a969-df150aec672b,6e31f1c3-5f6f-4dd3-946c-857c49a2b227,2026-07-26,100000,40000,60000,true,,2026-07-26 14:42:06.880552+00,nequi,,false,,
41485edd-e7f9-4b97-9b3c-eee813e15a19,6ced19a9-4328-4e08-86c3-e107b1822751,2026-07-29,400000,0,400000,false,,2026-07-29 18:29:21.288716+00,breb,,false,,
4366ec1e-4a10-47aa-bce2-68f690998d48,213bc756-b717-4c16-85bf-d7d3b6855de6,2026-06-15,300000,0,300000,false,,2026-06-16 13:38:35.236152+00,efectivo,,false,,
48901d2e-fff5-48d0-b264-85b6ffc6f4d2,e60d6f2a-f8fc-448b-8897-44d2b4b2babd,2026-05-30,100000,70000,30000,true,,2026-06-21 02:49:39.859668+00,nequi,,false,,
49bc7a68-5566-4ae6-ad28-751c55aca3cf,9ee2d5fa-f3ea-4a19-a9fc-352929c70e09,2026-06-01,350000,50000,300000,true,,2026-06-21 03:02:08.125171+00,nequi,,false,,
